cas,smile,odors
10402-47-8,CCCCC(=O)OC/C=C(C)/CCC=C(C)C,"ananas,fruité"
10402-48-9,CC(C)=CCC/C(C)=C/COC(=O)C(C)=C(C)C,"fruité,herbe,rhum,rose"
10402-52-5,CC(COC(C)=O)c1ccccc1,"jacinthe,lilas,terre,vert"
10411-92-4,CC(=O)OC1CCC(CC1)C(C)(C)C,"floral,fruité,pin"
10415-87-9,CCC(C)(O)CCc1ccccc1,"anisé,baie,frais,fruité,groseille,lilas,narcisse,pivoine,terre,vert,ylang-ylang"
10415-88-0,CC(CCc1ccccc1)OC(C)=O,fruité
10444-50-5,CC1COC(O1)\C=C(C)\CCC=C(C)C,"agrume,citron,orange"
10461-98-0,N#C[C](=[C]1CC[CH2]CC1)c2ccccc2,"floral,frais,géranium,raisin"
10471-96-2,CCCCC(=O)OC(C)(CCC=C(C)C)C=C,"abricot,agrume,lavande"
10482-55-0,C/C=C(/C)C(=O)OCCC(C)C,"camomille,fruité"
10482-56-1,CC1=CC[C@H](CC1)C(C)(C)O,floral
10482-77-6,CC(CCOC(=O)c1ccccc1)CCC=C(C)C,rose
10482-79-8,CC(CCOC(=O)/C=C/c1ccccc1)CCC=C(C)C,"doux,rose"
10484-09-0,Oc1ccccc1C(=O)OCC=C,"ananas,banane"
10484-36-3,CCCCCOc1ccc(\C=C\C)cc1OC,"balsamique,épicé,floral,œillet"
10484-56-7,CCCCOc1ccc2ccccc2c1,"baie,floral,fraise,framboise,fruité"
10486-14-3,CC(CCCC(C)=C)CCOC(=O)Cc1ccccc1,"cire d'abeille,doux,floral,géranium,miel,poudré,rose,vert"
10486-19-8,CCCCCCCCCCCCC=O,"agrume,aldéhyde,cire d'abeille,doux,raisin,savon,zesté"
10486-25-6,CC1CC(OC=O)C=C(C)C2CC(CC12)=C(C)C,"boisé,frais"
10486-26-7,CCC(=O)OC1CC(C)C2CC(CC2C(=C1)C)=C(C)C,"boisé,cèdre"
10493-98-8,OC1=CCCC1=O,caramel
104986-28-9,CCOC(=O)CCCCCOC(C)=O,"anisé,balsamique,floral,frais,framboise,jasmin"
105-01-1,CC(C)COC(=O)CCc1occc1,"ananas,boisé,floral,vin"
105-13-5,COc1ccc(CO)cc1,"anis,aubépine,balsamique,cacao,cerise,coumarine,crème,doux,floral,jacinthe,lilas,poudré,réglisse,rose,vanille"
105-21-5,CCCC1CCC(=O)O1,"caramel,coumarine,crème,doux,fève tonka,foin,fruit à coque,fruité,graisse,lait frais,noix de coco,poudré,tabac"
105-37-3,CCOC(=O)CC,"ananas,doux,éther,fermentaire,fruité,pomme,raisin,rhum,vin"
105-43-1,CCC(C)CC(O)=O,"animal,frais,fromage,fruité,sueur,vert"
105-45-3,COC(=O)CC(C)=O,"agrume,fruité,vert"
105-46-4,CCC(C)OC(C)=O,"banane,fruité"
105-53-3,CCOC(=O)CC(=O)OCC,"ananas,doux,fruité,pomme,vert"
105-54-4,CCCC(=O)OCC,"ananas,cognac,doux,éther,frais,fruité,pomme"
105-57-7,CCOC(C)OCC,"crème,doux,fruit à coque,légume,terre,vert"
105-66-8,CCCOC(=O)CCC,"abricot,ananas,doux,éther,fruité,rance,solvant,sueur,vert"
105-67-9,Cc1ccc(O)c(C)c1,brûlé
105-68-0,CCC(=O)OCCC(C)C,"ananas,banane,doux,ester,frais,fruit exotique,fruité,melon,pomme,vert"
105-70-4,CC(=O)OCC(O)COC(C)=O,alcool
